Subscriber,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender
0,1511,107,42.3625,-71.08822,169,42.378965,-71.068607,2174,1969,0
1,289,11,42.338629,-71.1065,400,42.34734473,-71.10016808,5383,1981,1
1,440,12,42.33624445,-71.08798563,360,42.3294633,-71.0901582,2943,1997,0
0,291,67,42.3581,-71.093198,179,42.35560121,-71.10394478,3391,1970,2
1,463,67,42.3581,-71.093198,67,42.3581,-71.093198,3631,2001,1
0,2126,352,42.34827839,-71.08044855,197,42.32143814,-71.09126061,5115,1983,1
1,1361,107,42.3625,-71.08822,318,42.3636929,-71.0875672,6090,1981,1
1,1569,221,42.37250865,-71.11305356,85,42.378338,-71.048927,2078,1996,1
1,536,41,42.352261,-71.123831,233,42.34619708,-71.10728681,6155,1998,1
1,139,427,42.28072815,-71.13423757,341,42.28630716,-71.12820532,6127,1997,1
1,183,47,42.362811,-71.056067,192,42.354659,-71.053181,5598,1993,1
1,440,25,42.341332,-71.076847,372,42.34958942,-71.07946779,3327,1957,1
1,363,189,42.36242784,-71.08495474,178,42.3595732,-71.10129476,4587,1996,1
1,586,191,42.33209606,-71.12845883,11,42.338629,-71.1065,5601,1986,1
1,1151,145,42.392766,-71.129042,335,42.36599433,-71.09522222,5145,1997,1
1,496,179,42.35560121,-71.10394478,68,42.36507,-71.1031,5076,1989,1
0,426,137,42.398365,-71.107818,409,42.38952436,-71.1169414,5019,1984,1
1,128,377,42.37927325,-71.10341903,330,42.38100143,-71.10402523,3902,1984,1
1,1204,74,42.373268,-71.118579,108,42.377945,-71.116865,3413,1996,1
0,1059,328,42.39638681,-71.12011306,406,42.39189812,-71.09745376,2514,1969,0
1,375,100,42.396969,-71.123024,239,42.39407224,-71.11133695,6131,1982,1
0,796,55,42.347265,-71.088088,67,42.3581,-71.093198,5015,1969,0
1,386,381,42.37438409,-71.10015746,110,42.376369,-71.114025,4716,1980,2
0,1591,208,42.35057,-71.166491,10,42.350406,-71.108279,3395,1969,0
1,872,117,42.36608797,-71.08633604,426,42.3529457,-71.05656401,5793,1997,1
1,463,117,42.36608797,-71.08633604,177,42.36264779,-71.10006094,4737,1957,1
1,708,35,42.35533502,-71.05822917,94,42.375603,-71.064608,4835,1977,1
0,618,72,42.36224179,-71.08311072,68,42.36507,-71.1031,4766,1991,1
0,1522,378,42.38032335,-71.10878613,404,42.34135616,-71.08336953,4686,1969,0
1,735,104,42.380287,-71.125107,96,42.373379,-71.111075,2619,1963,1
1,304,24,42.35148193,-71.04436085,163,42.344792,-71.044024,4794,1991,2
1,652,124,42.309054,-71.11543,159,42.32760387,-71.1108917,5143,1988,2
1,1305,364,42.3388956,-71.08149976,74,42.373268,-71.118579,3536,1991,1
1,836,24,42.35148193,-71.04436085,60,42.36079297,-71.07118962,5782,1989,1
1,515,4,42.345392,-71.069616,372,42.34958942,-71.07946779,2513,1989,2
1,979,110,42.376369,-71.114025,17,42.36426344,-71.1182757,2304,1988,1
1,423,372,42.34958942,-71.07946779,42,42.3525878,-71.06764905,2661,1959,1
1,762,161,42.3391085,-71.0514432,57,42.34054262,-71.08138848,5994,1989,1
1,624,61,42.348762,-71.082383,361,42.34924377,-71.0972821,4414,1981,1
1,536,80,42.36213123,-71.09115601,90,42.370677,-71.076529,5633,1974,2
1,226,384,42.35155308,-71.07569031,52,42.348717,-71.085954,5446,1991,2
1,416,75,42.36346469,-71.10057324,141,42.36356016,-71.08216792,2898,1997,1
1,1570,61,42.348762,-71.082383,330,42.38100143,-71.10402523,3893,1992,1
1,326,67,42.3581,-71.093198,335,42.36599433,-71.09522222,4966,1990,1
1,612,354,42.34286835,-71.14127841,233,42.34619708,-71.10728681,3908,1991,1
1,947,143,42.369885,-71.069957,36,42.34992828,-71.07739207,5872,1989,1
1,449,12,42.33624445,-71.08798563,331,42.33658555,-71.09886996,2299,1961,1
1,808,386,42.36860524,-71.09930186,206,42.35980252,-71.05960783,2349,1996,2
0,614,41,42.352261,-71.123831,233,42.34619708,-71.10728681,2710,1998,2
1,136,51,42.33509899,-71.07903779,200,42.332817,-71.081198,5122,1992,1
1,775,80,42.36213123,-71.09115601,109,42.36590788,-71.06446669,5991,1996,1
1,1285,185,42.36544486,-71.08277142,115,42.387995,-71.119084,2931,1959,1
0,1050,76,42.366426,-71.105495,16,42.34807412,-71.07657015,2465,1969,0
0,294,81,42.352409,-71.062679,363,42.34521562,-71.06384031,2234,1989,1
1,1679,367,42.38393225,-71.13961272,41,42.352261,-71.123831,4119,1993,1
1,433,390,42.39648358,-71.0654676,169,42.378965,-71.068607,4863,1985,1
1,365,104,42.380287,-71.125107,74,42.373268,-71.118579,2789,1998,1
1,412,381,42.37438409,-71.10015746,68,42.36507,-71.1031,5269,1994,1
1,259,89,42.379011,-71.119945,221,42.37250865,-71.11305356,5937,1991,1
1,917,189,42.36242784,-71.08495474,46,42.34366582,-71.08582377,3541,1995,1
1,372,22,42.352175,-71.055547,40,42.363871,-71.050877,2793,1973,1
1,389,67,42.3581,-71.093198,189,42.36242784,-71.08495474,5462,1998,1
1,1072,334,42.39120972,-71.12260755,177,42.36264779,-71.10006094,3466,1988,1
1,151,280,42.380857,-71.070629,94,42.375603,-71.064608,5497,1993,1
1,280,192,42.354659,-71.053181,47,42.362811,-71.056067,3853,1996,1
0,1010,16,42.34807412,-71.07657015,23,42.35892,-71.057629,2023,1969,0
1,630,380,42.36135838,-71.09670274,352,42.34827839,-71.08044855,5115,1983,1
1,426,139,42.36178044,-71.10809952,139,42.36178044,-71.10809952,4363,1992,2
1,366,190,42.365673,-71.064263,43,42.357143,-71.050699,4994,1988,1
1,477,22,42.352175,-71.055547,47,42.362811,-71.056067,5654,1993,1
1,1151,426,42.3529457,-71.05656401,379,42.34254914,-71.07421449,5947,1992,1
1,249,60,42.36079297,-71.07118962,206,42.35980252,-71.05960783,2254,1987,2
1,314,179,42.35560121,-71.10394478,107,42.3625,-71.08822,3828,1989,1
1,222,380,42.36135838,-71.09670274,107,42.3625,-71.08822,3025,2001,2
1,842,15,42.36154571,-71.13776207,177,42.36264779,-71.10006094,3128,1996,1
1,352,179,42.35560121,-71.10394478,107,42.3625,-71.08822,4963,1991,1
1,418,184,42.35775309,-71.10393405,76,42.366426,-71.105495,5445,1996,2
1,510,4,42.345392,-71.069616,426,42.3529457,-71.05656401,6128,1974,1
1,408,189,42.36242784,-71.08495474,75,42.36346469,-71.10057324,6076,1989,1
0,507,149,42.363796,-71.129164,74,42.373268,-71.118579,2553,1969,0
1,695,46,42.34366582,-71.08582377,60,42.36079297,-71.07118962,5057,1988,2
1,334,115,42.387995,-71.119084,330,42.38100143,-71.10402523,4777,1989,1
1,472,218,42.351586,-71.04569256,121,42.33595898,-71.046229,3866,1992,1
0,1228,233,42.34619708,-71.10728681,226,42.35154735,-71.12126246,2475,1969,0
1,187,227,42.349496,-71.10057592,53,42.35082681,-71.08981088,3543,2000,1
1,319,157,42.35317809,-71.04817357,150,42.344137,-71.052608,4002,1989,1
1,416,415,42.34954403,-71.07242074,57,42.34054262,-71.08138848,5255,1999,1
1,720,46,42.34366582,-71.08582377,380,42.36135838,-71.09670274,1328,1992,1
1,331,364,42.3388956,-71.08149976,16,42.34807412,-71.07657015,2053,1989,1
1,330,178,42.3595732,-71.10129476,107,42.3625,-71.08822,4903,1990,2
1,665,107,42.3625,-71.08822,190,42.365673,-71.064263,5119,1970,1
1,292,189,42.36242784,-71.08495474,380,42.36135838,-71.09670274,4459,1972,1
1,1308,13,42.33639915,-71.07306711,86,42.33299892,-71.11634426,4977,1994,1
1,333,67,42.3581,-71.093198,179,42.35560121,-71.10394478,5779,1992,1
1,186,49,42.351146,-71.066289,120,42.356052,-71.069849,5901,1990,2
0,700,75,42.36346469,-71.10057324,90,42.370677,-71.076529,4351,1992,1
1,652,400,42.34734473,-71.10016808,107,42.3625,-71.08822,5602,1993,1
1,1905,176,42.38674802,-71.11901879,344,42.34024645,-71.15168806,2649,1991,1
0,1433,224,42.38267828,-71.14347895,73,42.373231,-71.120886,5832,1995,1
